SECCIÓN,ÍTEM,ESTADO,NOTAS
VISUAL_DESKTOP_1440,Hero video visible,✅,40_hero_camara_loop.mp4 carga con poster
VISUAL_DESKTOP_1440,Video background opacity,✅,0.4 - visible pero no invasivo
VISUAL_DESKTOP_1440,Logo SVG en nav,✅,36px altura - blanco - responsive
VISUAL_DESKTOP_1440,Badge disponibilidad,✅,Verde #00D084 con pulse animation
VISUAL_DESKTOP_1440,Portfolio 3 columnas,✅,Grid correcto aspect-ratio 3/4
VISUAL_DESKTOP_1440,Services 3 columnas,✅,Card 2 destacada con "Most Popular"
VISUAL_DESKTOP_1440,Spacing generoso,✅,96px+ vertical - --section-pad clamp
VISUAL_DESKTOP_1440,No overflow horizontal,✅,overflow-x: hidden global
INTERACTIVITY_DESKTOP,Portfolio filtros,✅,4 botones All|Portrait|Editorial|Lifestyle
INTERACTIVITY_DESKTOP,Filtros funcionan,✅,JavaScript toggle .active clase
INTERACTIVITY_DESKTOP,Indicador filtro activo,❌,CSS diferenciador falta en .port-filter.active
INTERACTIVITY_DESKTOP,Button hover states,✅,translateY transform + color change
INTERACTIVITY_DESKTOP,Button active scale,✅,scale(0.95) al click
INTERACTIVITY_DESKTOP,Smooth scroll,✅,Lenis implementado - duration 1.0s
INTERACTIVITY_DESKTOP,Magnetic buttons,⚠️,Cursor hover effect presente pero no magnetic
FORM_DESKTOP,Form visible,✅,#contact-form presente
FORM_DESKTOP,Campo name,✅,Type text - required
FORM_DESKTOP,Campo email,✅,Type email - required
FORM_DESKTOP,Campo phone,✅,Type tel - required
FORM_DESKTOP,Campo sessionType,✅,Select con 4 opciones
FORM_DESKTOP,Campo message,✅,Textarea rows=4
FORM_DESKTOP,Submit button,✅,btn btn-primary btn-full
FORM_DESKTOP,Validación HTML5,✅,required en todos los campos
FORM_DESKTOP,Error visual,❌,input:invalid sin color diferente
FORM_DESKTOP,Success state,✅,form-success DIV con contenido
API_DESKTOP,Cal.com embed,✅,#cal-embed renderiza Cal booking
API_DESKTOP,WhatsApp links,✅,wa.me/17863329815 funcional
API_DESKTOP,Instagram links,✅,instagram.com/maik_photographer
API_DESKTOP,Email links,✅,mailto:maikelmarshall07@gmail.com
API_DESKTOP,404 errors,✅,Cero errores 404 en assets
PERFORMANCE,Carga < 3s,✅,HTML ~500ms + assets
PERFORMANCE,Console errors,✅,Sin errores en inspector
PERFORMANCE,Imágenes,✅,Lazy loading excepto hero
PERFORMANCE,Videos,✅,Preload none/auto - posters presentes
PERFORMANCE,Preloader,✅,1.8s con animación smooth
ACCESSIBILITY,Focus visible,❌,WCAG A - falta :focus-visible
ACCESSIBILITY,Alt text,✅,Descriptivo en portfolio imágenes
ACCESSIBILITY,ARIA roles,✅,menubar/menuitem en nav
ACCESSIBILITY,Color contrast,✅,Blanco sobre negro > 12:1 ratio
ACCESSIBILITY,Buttons min 44px,✅,Padding 14px 28px
ACCESSIBILITY,Form labels,✅,sr-only + placeholders
VISUAL_MOBILE_375,Hero visible,✅,Video + opacidad reducida
VISUAL_MOBILE_375,Logo redimensionado,✅,Responsive svg height
VISUAL_MOBILE_375,Badge visible,✅,Presente en mobile
VISUAL_MOBILE_375,Portfolio 1 columna,✅,Grid template cambio
VISUAL_MOBILE_375,Services 1 columna,✅,Apilado vertical
VISUAL_MOBILE_375,Hamburger visible,✅,3 líneas - display flex
VISUAL_MOBILE_375,No overflow,✅,overflow-x: hidden
VISUAL_MOBILE_375,No espacios negros,✅,Layout respeta 375px
HAMBURGER,Icono visible,✅,Nav hamburger button
HAMBURGER,Clickeable,✅,JavaScript toggle .open
HAMBURGER,Menu desplegable,✅,nav-mobile con links
HAMBURGER,Click cierra,✅,Evento click en links cierra
HAMBURGER,No oculta contenido,✅,Full-screen z-index 99
MOBILE_CTA,Barra fija bottom,✅,Position fixed - bottom 0
MOBILE_CTA,Color naranja,✅,var(--accent) #FF5722
MOBILE_CTA,Visible 375px,❌,CSS display: none - sin media query
MOBILE_CTA,Texto presente,✅,"Book a Session →"
MOBILE_CTA,Click abre contact,✅,href="#contact"
FORM_MOBILE,Full-width fields,✅,Width 100%
FORM_MOBILE,Sin truncado,✅,Viewport 375px no overflow
FORM_MOBILE,Sin zoom focus,✅,Viewport-fit meta presente
FORM_MOBILE,Teclado no oculta,✅,Form scrolleable
FORM_MOBILE,Submit > 44x44,✅,Padding generoso
